,Dynamic,60_40,EqualWeight
2015-03-31,0.0,0.0,0.0
2015-04-01,0.0,0.0,0.0
2015-04-02,-0.002023438419195278,-0.002106629833019791,-0.002023438419195278
2015-04-06,0.0,-0.000323672076957493,0.0
2015-04-07,-0.0001435221402235065,0.0,-0.00014352214022361753
2015-04-08,0.0,0.0,0.0
2015-04-09,-0.0022898342223459656,-0.002571263783336275,-0.0022898342223458545
2015-04-10,0.0,0.0,0.0
2015-04-13,-0.001702531501632576,-0.002165085993071636,-0.001702531501632576
2015-04-14,-0.0011351171536894133,0.0,-0.0011351171536891913
2015-04-15,0.0,0.0,0.0
2015-04-16,-0.0014885925986922732,-0.0021669417932449475,-0.0014885925986922732
2015-04-17,-0.0030529622072071882,-0.0045437990349830315,-0.0030529622072070772
2015-04-20,-0.002135326637202284,-0.0026405205052680847,-0.002135326637202173
2015-04-21,-0.0017571617644399629,-0.005164390559098675,-0.0017571617644398518
2015-04-22,-0.005951082572225652,-0.008360309292358759,-0.005951082572225541
2015-04-23,-0.002411261641543927,-0.005160573748253183,-0.002411261641543705
2015-04-24,-0.0004606074468674892,-0.001302878541610597,-0.0004606074468673782
2015-04-27,0.0,-0.0037996528933904594,0.0
2015-04-28,-0.0015281353768136219,-0.007436336022497381,-0.001528135376813733
2015-04-29,-0.007088322503959743,-0.01478731254285981,-0.007088322503959854
2015-04-30,-0.014103631202574629,-0.02005174982379998,-0.01410363120257474
2015-05-01,-0.013939540294024222,-0.019024211305075034,-0.013939540294024333
2015-05-04,-0.013622550179433035,-0.021070804523599884,-0.013622550179433035
2015-05-05,-0.01830080371543863,-0.028377850852299935,-0.01830080371543874
2015-05-06,-0.023877546524558202,-0.03749450183209446,-0.023877546524558313
2015-05-07,-0.020795691312314846,-0.03005592600409346,-0.020795691312315068
2015-05-08,-0.014547583583872425,-0.02139731350985119,-0.014547583583872536
2015-05-11,-0.02242804658393338,-0.03384570891539607,-0.022428046583933492
2015-05-12,-0.021704420946433434,-0.034581495462721046,-0.021704420946433434
2015-05-13,-0.019898154378429456,-0.03757709002174514,-0.019898154378429456
2015-05-14,-0.013801259005422839,-0.030551789301645038,-0.013801259005422839
2015-05-15,-0.008695331361118996,-0.022223444358182576,-0.008695331361119107
2015-05-18,-0.011486155624177208,-0.027021339321708693,-0.01148615562417743
2015-05-19,-0.016317624755329718,-0.030679260999310842,-0.01631762475532994
2015-05-20,-0.015368696525161929,-0.030435133519641333,-0.01536869652516204
2015-05-21,-0.011283704766525182,-0.023356788366422188,-0.011283704766525404
2015-05-22,-0.012390446525081145,-0.024595900085254807,-0.012390446525081367
2015-05-26,-0.0146650587631737,-0.024303336254142494,-0.01466505876317381
2015-05-27,-0.010214608411631021,-0.017881146745010512,-0.010214608411631132
2015-05-28,-0.010756181068984128,-0.019507859647522108,-0.010756181068984128
2015-05-29,-0.012159366345702027,-0.022310316614093995,-0.012159366345702027
2015-06-01,-0.014026253379015974,-0.025342881403891404,-0.014026253379016085
2015-06-02,-0.017525712070875055,-0.031401308278822704,-0.017525712070875055
2015-06-03,-0.021893536686355852,-0.0361422047366049,-0.021893536686355852
