,Portfolio Value
2015-03-31,1000000.0
2015-04-01,1003898.7989168275
2015-04-02,1001867.4715181153
2015-04-06,1005796.572839178
2015-04-07,1005652.2187624146
2015-04-08,1006513.1608499187
2015-04-09,1004208.412568963
2015-04-10,1007850.5648221865
2015-04-13,1006134.6674866385
2015-04-14,1006706.5363577013
2015-04-15,1009899.8617460933
2015-04-16,1008396.5322864776
2015-04-17,1006816.6756351186
2015-04-20,1007743.3956703999
2015-04-21,1008125.3043231198
2015-04-22,1003889.864279163
2015-04-23,1007464.7289476644
2015-04-24,1009434.6943491825
2015-04-27,1011382.9013959798
2015-04-28,1009837.3714048523
2015-04-29,1004213.8932158946
2015-04-30,997118.729950101
2015-05-01,997284.6886892834
2015-05-04,997605.2870710925
2015-05-05,992873.7814363812
2015-05-06,987233.5591137547
2015-05-07,990350.4947799956
2015-05-08,996669.7241026224
2015-05-11,988699.558569277
2015-05-12,989431.4211660563
2015-05-13,991258.2482882987
2015-05-14,997424.5440201579
2015-05-15,1002588.5919353719
2015-05-18,999765.9999949137
2015-05-19,994879.5347270436
2015-05-20,995839.2645136872
2015-05-21,999970.7553307159
2015-05-22,998851.4156398515
2015-05-26,996550.9117149387
2015-05-27,1001052.0211040006
2015-05-28,1000504.2837784901
2015-05-29,999085.126182127
2015-06-01,997196.9885577954
2015-06-02,993657.6958727076
2015-06-03,989240.1527403139
2015-06-04,988371.1958833886
2015-06-05,983450.0532230979
2015-06-08,981397.9427541384
2015-06-09,979554.8202632498
2015-06-10,983004.490235488
2015-06-11,987758.9149464683
2015-06-12,984960.0836791856
2015-06-15,984895.2848118683
2015-06-16,988057.9583588209
2015-06-17,988478.8152126881
2015-06-18,993783.4447318856
2015-06-19,994970.3440791548
2015-06-22,989951.9799203305
2015-06-23,987574.014788676
2015-06-24,987065.6187060656
2015-06-25,984991.8874258434
2015-06-26,981303.0592530946
2015-06-29,981101.3377838769
2015-06-30,979420.6983508896
2015-07-01,978234.9035509593
2015-07-02,979172.4677185625
2015-07-06,982951.4258314109
2015-07-07,984424.3749249758
2015-07-08,981489.8513418289
2015-07-09,977574.6877679046
2015-07-10,978383.2166417151
2015-07-13,981257.7572743007
2015-07-14,983798.0582641956
2015-07-15,985472.5917606595
2015-07-16,989483.2819290633
2015-07-17,991186.2303267772
2015-07-20,986165.403847771
2015-07-21,986260.4556558585
2015-07-22,984405.4647181073
2015-07-23,984848.0232795891
2015-07-24,983716.4329906203
2015-07-27,982165.3785786314
2015-07-28,984118.6186927937
2015-07-29,985214.2725155592
2015-07-30,985989.5275316159
2015-07-31,988932.1820929159
2015-08-03,988832.3620112746
2015-08-04,986113.8102408682
2015-08-05,985463.2319528182
2015-08-06,984247.9185216466
2015-08-07,986841.8563267789
2015-08-10,989711.2487991623
2015-08-11,990827.1348678726
2015-08-12,992928.5457128509
2015-08-13,989974.124744603
2015-08-14,990950.4827988998
2015-08-17,994808.941839775
2015-08-18,991852.1163127742
2015-08-19,994444.0244662617
2015-08-20,991208.2642936663
2015-08-21,981138.8836963773
2015-08-24,967101.4820378103
2015-08-25,959005.6263562435
2015-08-26,966487.6061680927
2015-08-27,974563.8902427573
2015-08-28,976429.443844695
2015-08-31,971670.2816847909
2015-09-01,964131.1560958987
2015-09-02,968978.0047596183
2015-09-03,968315.0005194135
2015-09-04,965381.7614218559
2015-09-08,970736.4847008821
2015-09-09,965422.3128308654
2015-09-10,967019.62154742
2015-09-11,969797.8998765429
2015-09-14,969163.5989758007
2015-09-15,967943.4912580044
2015-09-16,971701.2062385826
2015-09-17,976717.9428133894
2015-09-18,976223.7366241085
2015-09-21,972857.1653437515
2015-09-22,970325.6164689567
2015-09-23,970583.1961179523
2015-09-24,974199.9896681366
2015-09-25,969861.9454642549
2015-09-28,962802.8533193541
2015-09-29,962488.1552662832
2015-09-30,966942.4125832361
2015-10-01,968704.905410258
2015-10-02,979264.4203260316
2015-10-05,980883.3989601946
2015-10-06,982193.784270885
2015-10-07,983276.3923585542
2015-10-08,982717.1005349832
2015-10-09,986651.1169345032
2015-10-12,989615.6771348922
2015-10-13,988808.7399099328
2015-10-14,993167.7814084698
2015-10-15,996153.1954083797
2015-10-16,996259.119721288
2015-10-19,996120.8541703783
2015-10-20,994408.6142727446
2015-10-21,993151.6483113974
2015-10-22,999709.7555184894
2015-10-23,1003333.4820869577
2015-10-26,1004465.1780139691
2015-10-27,1005753.14407726
2015-10-28,1005916.7700024066
2015-10-29,1000103.7459830055
2015-10-30,999577.1031538093
2015-11-02,1000979.0552400221
2015-11-03,997718.9064603345
2015-11-04,995494.2653852889
2015-11-05,993814.7685457532
2015-11-06,987681.0416194401
2015-11-09,983602.8550079613
2015-11-10,984088.7471490675
2015-11-11,982225.2935715116
2015-11-12,979293.3950151994
2015-11-13,975440.5506002897
2015-11-16,980516.8907770069
2015-11-17,978495.8205134295
2015-11-18,984512.2625824849
2015-11-19,987694.0256360689
2015-11-20,987932.7047979725
2015-11-23,986640.3473116275
2015-11-24,987947.5266484006
2015-11-25,987792.2933385324
2015-11-27,986301.6196614171
2015-11-30,986938.8802530707
2015-12-01,995130.3772096178
2015-12-02,990390.6461626657
2015-12-03,975692.5170461292
2015-12-04,989563.1500209958
2015-12-07,988800.1958110827
2015-12-08,987909.2571124238
2015-12-09,981124.9526190266
2015-12-10,982959.2494047318
2015-12-11,975394.2666159954
2015-12-14,975271.3636606678
2015-12-15,977724.2817324129
2015-12-16,984742.0055473075
2015-12-17,979052.3793497215
2015-12-18,970998.7541680025
2015-12-21,976486.7170231522
2015-12-22,978567.9546130002
2015-12-23,981559.9518715371
2015-12-24,982621.2791119762
2015-12-28,982376.6771403346
2015-12-29,986126.513119403
2015-12-30,981460.9589378121
2015-12-31,976151.4096389045
2016-01-04,966451.5899448451
2016-01-05,965247.4627034938
2016-01-06,962261.8626968912
2016-01-07,945321.9719241221
2016-01-08,941210.770329129
2016-01-11,940336.0690455178
2016-01-12,949512.6587780957
2016-01-13,932863.1148851989
2016-01-14,942339.187167113
2016-01-15,928956.6558830445
2016-01-19,929355.3277366488
2016-01-20,928505.2234223114
2016-01-21,928324.1026460109
2016-01-22,942351.1982289711
2016-01-25,935042.2265030179
2016-01-26,941193.315493776
2016-01-27,928985.2899111833
2016-01-28,936002.0756556845
2016-01-29,950767.524227653
2016-02-01,950719.9965226719
2016-02-02,942709.8367784003
2016-02-03,941631.2603853379
